step,count_0,count_1,bias
100000,49902,50098,0.00196
200000,99928,100072,0.00072
300000,149704,150296,0.0019733333333333334
400000,199567,200433,0.002165
500000,249648,250352,0.001408
600000,299674,300326,0.0010866666666666668
700000,349697,350303,0.0008657142857142857
800000,399434,400566,0.001415
900000,449318,450682,0.0015155555555555556
1000000,499232,500768,0.001536
1100000,549437,550563,0.0010236363636363637
1200000,599265,600735,0.001225
1300000,649413,650587,0.0009030769230769231
1400000,699669,700331,0.00047285714285714287
1500000,749701,750299,0.0003986666666666667
1600000,799663,800337,0.00042125
1700000,849511,850489,0.0005752941176470588
1800000,899323,900677,0.0007522222222222223
1900000,995775,904225,-0.04818421052631579
2000000,1095775,904225,-0.095775
2100000,1195775,904225,-0.13883333333333334
2200000,1295775,904225,-0.17797727272727273
2300000,1395775,904225,-0.21371739130434783
2400000,1495775,904225,-0.24647916666666667
2500000,1595775,904225,-0.27662
2600000,1695775,904225,-0.3044423076923077
2700000,1795775,904225,-0.3302037037037037
2800000,1895775,904225,-0.354125
2900000,1995775,904225,-0.37639655172413794
3000000,2095775,904225,-0.39718333333333333
3100000,2195775,904225,-0.4166290322580645
3200000,2295775,904225,-0.434859375
3300000,2395775,904225,-0.4519848484848485
3400000,2495775,904225,-0.4681029411764706
3500000,2595775,904225,-0.4833
3600000,2695775,904225,-0.4976527777777778
3700000,2795775,904225,-0.5112297297297297
3800000,2895775,904225,-0.5240921052631579
3900000,2995775,904225,-0.5362948717948718
4000000,3095775,904225,-0.5478875
4100000,3195775,904225,-0.5589146341463415
4200000,3295775,904225,-0.5694166666666667
4300000,3395775,904225,-0.5794302325581395
4400000,3495775,904225,-0.5889886363636364
4500000,3595775,904225,-0.5981222222222222
4600000,3695775,904225,-0.6068586956521739
4700000,3795775,904225,-0.6152234042553192
4800000,3895775,904225,-0.6232395833333333
4900000,3995775,904225,-0.6309285714285714
5000000,4095775,904225,-0.63831
5100000,4195775,904225,-0.6454019607843138
5200000,4295775,904225,-0.6522211538461539
5300000,4395775,904225,-0.6587830188679246
5400000,4495775,904225,-0.6651018518518519
5500000,4595775,904225,-0.6711909090909091
5600000,4695775,904225,-0.6770625
5700000,4795775,904225,-0.6827280701754386
5800000,4895775,904225,-0.6881982758620689
5900000,4995775,904225,-0.6934830508474576
6000000,5095775,904225,-0.6985916666666667
6100000,5195775,904225,-0.7035327868852459
6200000,5295775,904225,-0.7083145161290323
6300000,5395775,904225,-0.7129444444444445
6400000,5495775,904225,-0.7174296875
6500000,5595775,904225,-0.7217769230769231
6600000,5695775,904225,-0.7259924242424243
6700000,5795775,904225,-0.7300820895522389
6800000,5895775,904225,-0.7340514705882353
6900000,5995775,904225,-0.7379057971014493
7000000,6095775,904225,-0.74165
7100000,6195775,904225,-0.7452887323943662
7200000,6295775,904225,-0.7488263888888889
7300000,6395775,904225,-0.7522671232876712
7400000,6495775,904225,-0.7556148648648648
7500000,6595775,904225,-0.7588733333333333
7600000,6695775,904225,-0.762046052631579
7700000,6795775,904225,-0.7651363636363636
7800000,6895775,904225,-0.768147435897436
7900000,6995775,904225,-0.7710822784810126
8000000,7095775,904225,-0.77394375
8100000,7195775,904225,-0.7767345679012345
8200000,7295775,904225,-0.7794573170731708
8300000,7395775,904225,-0.7821144578313253
8400000,7495775,904225,-0.7847083333333333
8500000,7595775,904225,-0.7872411764705882
8600000,7695775,904225,-0.7897151162790698
8700000,7795775,904225,-0.792132183908046
8800000,7895775,904225,-0.7944943181818181
8900000,7995775,904225,-0.7968033707865169
9000000,8095775,904225,-0.7990611111111111
9100000,8195775,904225,-0.8012692307692307
9200000,8295775,904225,-0.803429347826087
9300000,8395775,904225,-0.8055430107526882
9400000,8495775,904225,-0.8076117021276595
9500000,8595775,904225,-0.8096368421052632
9600000,8695775,904225,-0.8116197916666666
9700000,8795775,904225,-0.8135618556701031
9800000,8895775,904225,-0.8154642857142858
9900000,8995775,904225,-0.8173282828282828
10000000,9095775,904225,-0.819155
