k,n_patterns,n_windows,expected_per_pattern,chi2,df,p_value,max_pattern,max_count,max_ratio,min_pattern,min_count,min_ratio
1,2,10000000,5000000.00,1.9714,1,1.603036e-01,1,5002220,1.000444,0,4997780,0.999556
2,4,9999999,2499999.75,4.2140,3,2.392658e-01,11,2501808,1.000723,00,2497368,0.998947
3,8,9999998,1249999.75,8.7962,7,2.676192e-01,101,1251582,1.001266,000,1248539,0.998831
4,16,9999997,624999.81,13.8401,15,5.376858e-01,1011,626169,1.001871,0100,623811,0.998098
5,32,9999996,312499.88,25.5861,31,7.409111e-01,10101,313426,1.002964,01000,311663,0.997322
6,64,9999995,156249.92,59.8028,63,5.909959e-01,110101,157329,1.006906,101000,155559,0.995578
7,128,9999994,78124.95,116.0128,127,7.479945e-01,1101011,78705,1.007425,1010000,77500,0.992001
8,256,9999993,39062.47,226.1472,255,9.031051e-01,01111000,39600,1.013761,00101000,38589,0.987879
9,512,9999992,19531.23,451.3496,511,9.727488e-01,001111000,19953,1.021594,001010000,19078,0.976794
10,1024,9999991,9765.62,910.9797,1023,9.947408e-01,0111100011,10099,1.034139,1001011100,9454,0.968090
11,2048,9999990,4882.81,1978.7628,2047,8.572631e-01,11100011010,5138,1.052263,00010100000,4676,0.957646
12,4096,9999989,2441.40,4011.1303,4095,8.227185e-01,111100011010,2635,1.079297,111100110011,2290,0.937985
13,8192,9999988,1220.70,8137.8122,8191,6.595541e-01,0111100011010,1380,1.130497,1101111001100,1103,0.903579
14,16384,9999987,610.35,16269.8822,16383,7.332497e-01,00111100011010,734,1.202587,00110001101001,514,0.842139
15,32768,9999986,305.18,32643.9809,32767,6.838701e-01,101111110001011,379,1.241909,000110001101001,238,0.779879
16,65536,9999985,152.59,65474.3134,65535,5.658571e-01,0000110111100101,208,1.363151,1010011111110011,103,0.675022
17,131072,9999984,76.29,131321.1195,131071,3.122410e-01,00000110111100101,123,1.612188,00001000100011011,38,0.498074
18,262144,9999983,38.15,262576.0778,262143,2.746856e-01,100110100000100000,72,1.887440,100001000100011011,11,0.288359
19,524288,9999982,19.07,524970.3811,524287,2.521542e-01,1011010111101111010,41,2.149585,1100110111010001100,2,0.104858
20,1048576,9999981,9.54,1050474.6345,1048575,9.485597e-02,01001110100001110000,30,3.145734,10110011000000000000,0,0.000000
